station,outgoing,incoming
Boston Public Library - 700 Boylston St.,6933,6950
Stuart St. at Charles St.,3245,3178
Boylston at Fairfield,999,1065
Tremont St / W Newton St,2952,2801
Lewis Wharf - Atlantic Ave.,3595,3490
Union Square - Brighton Ave. at Cambridge St.,1179,1303
Mayor Martin J. Walsh - 28 State St.,3464,3227
Longwood Ave / Binney St,1570,1460
Tremont St. at Berkeley St.,1831,1757
Tremont St / West St,2304,2214
Charles Circle - Charles St. at Cambridge St.,1705,1702
Aquarium Station - 200 Atlantic Ave.,2742,2698
South Station - 700 Atlantic Ave.,7512,7754
The Esplanade - Beacon St. at Arlington St.,1244,1242
Innovation Lab - 125 Western Ave. at Batten Way,298,317
Back Bay / South End Station,4098,3630
Northeastern U / North Parking Lot,1744,1764
Seaport Square - Seaport Blvd. at Boston Wharf,3424,3453
Prudential Center / Belvidere,3492,3480
TD Garden - Causeway at Portal Park #2,5422,4930
Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,1111,1115
Dorchester Ave. at Gillette Park,138,159
Christian Science Plaza,3187,3194
Cambridge St. at Joy St.,2736,2812
Fan Pier,550,470
Harvard Real Estate - Brighton Mills - 370 Western Ave,1318,1523
Landmark Centre,2957,2999
Colleges of the Fenway,1224,1161
Ruggles Station / Columbus Ave.,1545,1730
HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,2116,2009
Columbus Ave. at Mass. Ave.,1676,1596
Roxbury Crossing Station,1000,1045
Boston Medical Center -  East Concord at Harrison Ave,1052,1148
New Balance - 20 Guest St.,312,402
Newbury St / Hereford St,4352,4552
Washington St. at Rutland St.,3463,3362
Boylston St. at Arlington St.,5812,6030
Washington St. at Waltham St.,371,358
Franklin St. / Arch St.,2990,2978
Post Office Square,2349,2419
Seaport Hotel,1478,1577
Congress / Sleeper,334,307
Packard's Corner - Comm. Ave. at Brighton Ave.,2751,2846
Kenmore Sq / Comm Ave,3682,3878
Beacon St / Mass Ave,3678,3691
Boylston St / Berkeley St,3346,3220
Faneuil Hall - Union St. at North St.,2943,2889
Rowes Wharf - Atlantic Ave,3167,3212
Harvard Real Estate - North Harvard St at Western Ave,789,857
Longwood Ave/Riverway,89,84
Cross St. at Hanover St.,2935,2863
Boylston / Mass Ave,2361,2313
Yawkey Way at Boylston St.,2932,2865
Chinatown Gate Plaza - Surface Rd. at Beach St.,894,873
Agganis Arena - 925 Comm Ave.,2780,2959
Dudley Square,1540,1661
Brigham Cir / Huntington Ave,1187,1276
Overland St at Brookline Ave,1208,1156
B.U. Central - 725 Comm. Ave.,2635,2658
Washington St. at Lenox St.,271,274
